districts,x,y
Tiruvallur,191,313
Chennai,217,290
Vellore,44,261
Kancheepuram,183,243
Tiruvanamalai,65,216
Krishnagiri,-70,237
Viluppuram,97,147
Dharmapuri,-56,172
Cuddalore,129,92
Salem,-52,118
Erode,-142,98
Namakkal,-56,66
Peramblaur,41,66
Ari yalur,91,49
The Nilgiris,-241,86
Coimbatore,-208,20
Tiruppur,-142,23
Karur,-60,18
Thanjavur,77,-2
Tiruvarur,127,-7
Nagapattinam,162,-43
Pudukkottai,39,-50
Dindigul,-110,-46
Theni,-139,-118
Madurai,-86,-114
Sivaganga,7,-115
Virudhunagar,-89,-169
Ramanathapuram,5,-179
Thoothukudi,-72,-231
Tirunelveli,-139,-256
Kanniyakumari,-150,-317
Tiruchirappalli,4,31
